ID_REF	VALUE
syc0215-m_at	1924.523995
syc0216-m_at	1848.845049
syc0217-h_at	181.1936676
syc0218-h_at	31.26561767
syc0219-h_at	126.0546451
syc0220-h_at	60.55191021
syc0221-h_at	94.72284603
syc0222-h_at	238.0906178
syc0223-h_at	715.7918532
syc0224-h_at	1081.406612
syc0225-h_at	780.7043537
syc0226-h_at	2134.719318
syc0227-h_at	157.639966
syc0228-h_at	267.7057962
syc0229-h_at	138.2401534
syc0230-m_at	167.1152198
syc0231-h_at	103.0286183
syc0232-h_at	8932.384526
syc0233-m_at	359.4565561
syc0234-m_at	84.88201353
syc0235-h_at	192.4256422
syc0236-h_at	80.55115928
syc0237-h_at	262.2336214
syc0238-m_at	111.5888037
syc0239-m_at	257.25126
syc0240-m_at	2390.293723
syc0241-h_at	679.7151513
syc0242-m_at	144.2548655
syc0243-m_at	236.7121554
syc0244-h_at	502.2237927
syc0245-h_at	95.58552507
syc0246-h_at	415.9764409
syc0247-h_at	412.5207892
syc0248-m_at	1417.943698
syc0249-m_at	375.6292758
syc0250-m_at	1222.492969
syc0251-m_at	629.5829677
syc0252-h_at	325.7029691
syc0253-h_at	60.31588916
syc0254-h_at	114.841613
syc0255-m_at	518.2561767
syc0256-h_at	329.5518479
syc0257-h_at	654.7499647
syc0258-h_at	124.1500269
syc0259-m_at	354.7373736
syc0260-h_at	515.9435949
syc0261-m_at	865.6521189
syc0262-m_at	177.710999
syc0263-h_at	214.8702318
syc0264-m_at	1683.43746
syc0265-h_at	551.7422659
syc0266-h_at	54.15374742
syc0267-h_at	1339.806488
syc0268-h_at	79.08301077
syc0269-m_at	109.3071986
syc0270-m_at	322.8188782
syc0271-m_at	243.7155086
syc0272-m_at	68.90099892
syc0274-m_at	957.7606661
syc0275-m_at	283.660504
syc0276-m_at	7174.641921
syc0277-m_at	3030.706801
syc0278-m_at	446.489645
syc0279-m_at	1569.255515
syc0280-m_at	1499.120151
syc0281-h_at	165.8744388
syc0282-m_at	187.5771366
syc0283-m_at	296.8934669
syc0284-h_at	185.9937656
syc0285-m_at	299.6667574
syc0286-m_at	1215.366827
syc0287-m_at	512.1850181
syc0288-m_at	272.3639011
syc0289-h_at	166.8048425
syc0290-m_at	124.0968641
syc0291-m_at	158.5385658
syc0292-m_at	596.1008923
syc0293-h_at	887.7716493
syc0294-h_at	668.7637636
syc0295-h_at	178.5979905
syc0296-h_at	254.880656
syc0297-h_at	743.3464918
syc0298-m_at	176.9060095
syc0299-h_at	2959.964702
syc0300-h_at	142.4869041
syc0301-h_at	145.1945693
syc0302-m_at	10372.79836
syc0303-m_at	5605.825549
syc0304-h_at	321.2281529
syc0305-h_at	414.9694972
syc0306-h_at	415.9776662
syc0307-h_at	65.79755102
syc0308-h_at	339.1863044
syc0309-m_at	258.4865867
syc0310-h_at	105.2323796
syc0311-h_at	235.2560024
syc0312-m_at	1946.283625
syc0313-m_at	5687.635814
syc0314-m_at	2669.28908
syc0315-m_at	2547.955269
syc0316-m_at	2122.758565
syc0317-m_at	182.2440313
syc0318-h_at	243.5264163
syc0319-m_at	58.28032302
syc0320-m_at	6190.691925
syc0321-m_at	2702.996083
syc0322-m_at	279.8325254
syc0323-m_at	214.8224724
syc0324-h_at	111.8231294
syc0325-m_at	245.2285372
syc0326-h_at	328.8768677
syc0327-m_at	1317.894632
syc0328-m_at	598.4099243
syc0329-m_at	391.8387254
syc0330-h_at	160.935467
syc0331-m_at	771.8847305
syc0332-h_at	3992.989569
syc0333-h_at	4239.144884
syc0334-m_at	29.3854653
syc0335-m_at	7.895125479
syc0336-m_at	7.324046465
syc0337-h_at	130.2704812
syc0338-h_at	503.0623171
syc0339-h_at	170.8095631
syc0340-m_at	158.8037855
syc0341-m_at	53.64895648
syc0342-m_at	120.7518567
syc0343-m_at	161.3751665
syc0344-m_at	500.829885
syc0345-m_at	285.9441805
syc0346-h_at	42.2966028
syc0347-h_at	17.84529703
syc0348-m_at	43.26265126
syc0349-m_at	80.39931951
syc0350-m_at	333.426458
syc0351-m_at	464.4128966
syc0352-m_at	167.2296671
syc0353-m_at	253.0294476
syc0354-m_at	1533.240271
syc0355-m_at	1019.360798
syc0356-h_at	599.4746525
syc0357-h_at	266.9878445
syc0358-h_at	517.2337822
syc0359-m_at	451.1351464
syc0360-m_at	1946.610317
syc0361-h_at	215.4435119
syc0362-m_at	1028.986518
syc0363-m_at	29.94485148
syc0364-h_at	510.2660253
syc0365-h_at	152.2537481
syc0366-h_at	72.99040065
syc0367-h_at	340.2683707
syc0368-h_at	1384.290844
syc0369-h_at	853.8392176
syc0370-h_at	1907.14804
syc0371-h_at	4133.147008
syc0372-h_at	3665.073159
syc0373-m_at	1794.521846
syc0374-m_at	898.6404403
syc0375-m_at	9315.577223
syc0376-m_at	10887.31328
syc0377-m_at	7018.905495
syc0378-m_at	3197.033605
syc0379-h_at	95.3531034
syc0380-m_at	160.2460018
syc0381-m_at	78.4595897
syc0382-m_at	325.3270334
syc0383-m_at	174.2899227
syc0384-m_at	192.4140554
syc0385-m_at	504.0003663
syc0386-h_at	87.36127887
syc0387-m_at	10.78446914
syc0388-h_at	95.38220743
syc0389-h_at	91.05534248
syc0390-h_at	162.9130342
syc0391-h_at	78.57773598
syc0392-h_at	224.813545
syc0393-m_at	63.59637497
syc0394-m_at	259.7510696
syc0395-h_at	336.9564183
syc0396-h_at	276.4269748
syc0397-h_at	58.69178101
syc0398-m_at	88.35617407
syc0399-m_at	183.125542
syc0400-m_at	5381.538938
syc0401-m_at	446.995455
syc0402-m_at	102.3332753
syc0403-m_at	446.3169456
syc0404-h_at	418.1211197
syc0405-m_at	84.71901868
syc0406-m_at	2292.446689
syc0407-m_at	1908.672129
syc0408-h_at	619.5251029
syc0409-h_at	650.6470872
syc0410-h_at	468.8790824
syc0411-m_at	1093.599154
syc0412-m_at	109.0345088
syc0413-m_at	704.7726587
syc0414-h_at	132.6171242
syc0416-m_at	4350.844739
syc0417-h_at	388.959765
syc0418-m_at	274.5682082
syc0419-m_at	28.92385674
syc0420-m_at	69.18866994
syc0421-h_at	886.0427698
syc0423-h_at	563.4936382
syc0424-h_at	299.2811859
syc0425-h_at	23.03695494
syc0426-h_at	643.3552289
syc0427-m_at	340.5773452
syc0428-h_at	3408.155132
syc0429-h_at	782.293401
syc0430-h_at	2478.349437
syc0431-h_at	5676.01597
syc0432-m_at	662.8824376
syc0433-m_at	130.027503
syc0434-m_at	100.7562707
syc0435-m_at	59.26760401
syc0436-h_at	584.17312
syc0437-h_at	2722.323083
syc0438-m_at	668.0679811
syc0439-m_at	516.2291941
syc0440-m_at	241.6925858
syc0441-m_at	229.2955951
syc0442-m_at	160.3255395
syc0443-h_at	1376.692874
syc0444-h_at	91.96880777
syc0445-h_at	440.2964833
syc0446-m_at	481.7834557
syc0447-m_at	510.2785747
syc0448-m_at	604.7262088
syc0449-m_at	230.123648
syc0450-m_at	199.3425144
syc0451-h_at	339.9202588
syc0452-h_at	803.9697726
syc0453-m_at	288.4019757
syc0454-m_at	209.3503632
syc0455-m_at	105.2526343
syc0456-h_at	35.49830231
syc0457-m_at	1175.419141
syc0458-h_at	148.9409206
syc0459-m_at	152.0168104
syc0460-m_at	248.0119202
syc0461-m_at	152.837093
syc0462-h_at	130.0636479
syc0463-m_at	1540.931708
syc0464-h_at	366.4810735
syc0466-h_at	6668.321635
syc0467-h_at	459.0957851
syc0468-h_at	1972.468553
syc0469-h_at	756.1836539
syc0470-m_at	60.54010027
syc0471-h_at	651.6826688
syc0472-h_at	201.5194981
syc0473-h_at	440.3896003
syc0474-h_at	359.1097889
syc0475-h_at	152.9632356
syc0476-h_at	610.6385892
syc0477-h_at	114.3478489
syc0479-m_at	56.75980684
syc0480-m_at	39.97328629
syc0481-m_at	100.141614
syc0482-h_at	211.2738805
syc0483-m_at	211.7756262
syc0484-m_at	551.9835878
syc0485-m_at	83.68962682
syc0486-m_at	282.7322113
syc0487-h_at	1411.9434
syc0488-h_at	94.75880552
syc0489-h_at	182.3564189
syc0490-h_at	254.4911194
syc0491-h_at	259.678623
syc0492-h_at	591.1333761
syc0493-h_at	275.673806
syc0494-h_at	155.7896526
syc0495-h_at	1873.419253
syc0496-h_at	262.9673142
syc0497-h_at	886.5298455
syc0498-h_at	1436.162711
syc0499-h_at	760.7976667
syc0500-h_at	1420.135448
syc0501-h_s_at	5768.477813
syc0502-h_s_at	5688.598172
syc0503-h_at	12010.16133
syc0504-h_at	15029.77228
syc0505-h_at	10927.33437
syc0508-h_at	130.9574462
syc0509-m_at	410.9325556
syc0510-m_at	445.7529608
syc0511-m_at	296.179129
syc0512-h_at	1864.531229
syc0513-h_at	208.1719144
syc0514-m_at	162.748613
syc0515-h_at	74.58602074
syc0516-h_at	323.6179548
syc0517-h_at	506.7358218
syc0518-m_at	497.6541099
syc0519-h_at	330.5603746
syc0520-h_at	437.6992879
syc0521-h_at	277.5527082
syc0522-h_at	589.5190399
syc0523-h_at	890.8796881
syc0524-m_at	342.2398827
syc0525-h_at	33.95926235
syc0526-m_at	166.4272896
syc0527-h_at	270.4856016
syc0528-m_at	188.0271343
syc0529-m_at	320.1769905
syc0530-m_at	279.960509
syc0531-h_at	110.85402
syc0532-h_at	199.3133472
syc0533-h_at	372.8198244
syc0534-h_at	207.0745792
syc0535-m_at	254.846972
syc0536-m_at	1597.769627
syc0537-m_at	1773.009597
syc0538-m_at	1696.535702
syc0539-m_at	183.8606597
syc0540-m_at	140.9999808
syc0541-m_at	253.9243758
syc0542-m_at	223.7056005
syc0543-m_at	232.5313322
syc0544-m_at	200.5863415
syc0545-h_at	418.9080707
syc0546-h_at	180.3544268
syc0547-m_at	82.31903139
syc0548-h_at	959.9719565
syc0549-h_at	10580.69316
syc0550-m_at	436.969618
syc0551-m_at	39.13395562
syc0552-h_at	607.4607696
syc0553-m_at	2548.818138
syc0554-h_at	138.3505446
syc0555-h_at	443.5572844
syc0556-m_at	266.3248567
syc0557-m_at	404.7950708
syc0558-h_at	143.5960269
syc0559-m_at	652.8682137
syc0560-m_at	99.10556764
syc0561-m_at	412.7568426
syc0562-m_at	823.6355525
syc0563-m_at	522.8372768
syc0564-h_at	284.7167694
syc0565-h_at	417.7194004
syc0566-h_at	239.4094078
syc0567-h_at	578.8475648
syc0568-h_at	1685.959343
syc0569-m_at	489.7821514
