Reporter Identifier	VALUE
637798707	0.068514066
637798708	0.569196024
637798709	0.02100161
637798710	1.125405732
637798711	-0.071282013
637798712	0.031343103
637798713	0.04663598
637798714	0.016443384
637798715	0.111476517
637798716	-0.183146622
637798717	-0.060031436
637798718	0.071783157
637798719	-0.105964405
637798720	-0.152683748
637798721	-0.0461462
637798722	0.566648895
637798723	0.2845174
637798724	0.108242259
637798725	0.07706575
637798726	-0.085047469
637798727	0.09635349
637798728	-0.004910743
637798729	-0.017346153
637798730	0.279337455
637798731	-0.149151968
637798732	-0.08823012
637798733	-0.187308458
637798734	-0.263903493
637798735	-0.306513406
637798736	-0.813766687
637798737	-0.767129459
637798738	-0.857509303
637798739	-0.908611904
637798740	-0.819559161
637798741	-0.887637414
637798742	-0.762120139
637798743	-0.886722358
637798744	-0.107920092
637798745	-0.196662687
637798746	0.333115738
637798747	0.168267071
637798748	0.155226473
637798749	0.040862956
637798750	0.075188249
637798751	-0.080874307
637798752	0.108109809
637798753	-0.158696281
637798754	0.173140984
637798755	0.006772448
637798756	0.039072416
637798757	-0.041192453
637798758	0.068769805
637798759	0.299821669
637798760	-0.044176395
637798761	-0.002508075
637798762	-0.237417907
637798763	0.012853638
637798764	-0.005838542
637798765	-0.060677289
637798766	-0.152064422
637798767	-0.240305787
637798768	-0.03872176
637798769	-0.150726396
637798770	-0.232601101
637798771	-0.490974533
637798772	0.085476082
637798773	-0.128470193
637798774	0.115962352
637798775	0.700814289
637798776	0.565626154
637798777	0.231825631
637798778	-0.288877403
637798779	-0.210422979
637798780	-1.029822928
637798781	0.012128924
637798782	-0.090654615
637798783	0.006648702
637798784	0.186984
637798785	-0.233165434
637798786	0.005863086
637798787	0.268108022
637798788	0.206580816
637798789	0.524851237
637798790	0.102726717
637798791	-0.562910668
637798792	-0.055923983
637798793	-0.037201095
637798794	-0.219438755
637798795	-0.123497366
637798796	0.03340223
637798797	0.51229647
637798798	-0.05894158
637798799	-0.142886167
637798800	-0.090594753
637798801	-0.358989405
637798802	-0.059967213
637798803	-0.021468051
637798804	-0.022932341
637798805	-0.433547462
637798806	-0.156877691
637798807	0.161319966
637798808	-0.033463319
637798809	-0.102270001
637798810	-0.049517692
637798811	-0.239513768
637798812	-0.098301681
637798813	0.301854876
637798814	-0.037386886
637798815	-0.053641489
637798816	-0.054274406
637798817	-0.237333735
637798818	-0.287856812
637798819	-0.135273566
637798820	0.001626841
637798821	-0.33226573
637798822	-0.014278653
637798823	0.15361192
637798824	0.357854529
637798825	-0.377700906
637798826	0.164210675
637798827	0.277621437
637798828	0.562412163
637798829	0.054486511
637798830	0.083356884
637798831	-0.804480821
637798832	0.137927227
637798833	-0.141905892
637798834	0.134380336
637798835	0.394232518
637798836	-0.142828916
637798837	-0.074647858
637798838	0.10930632
637798839	0.165810401
637798840	0.152253327
637798841	0.02510359
637798842	0.025453506
637798843	-0.170686502
637798844	-0.05210814
637798845	-0.357990494
637798846	-0.049234358
637798847	-0.02257481
637798848	0.121123529
637798849	-0.239672424
637798850	-0.413331347
637798851	0.010497104
637798852	-0.160028149
637798853	-0.003555456
637798854	-0.055369308
637798855	-0.118079124
637798856	-0.243443864
637798857	0.053506222
637798858	-0.341327437
637798860	0.11017262
637798861	-0.147043772
637798862	0.026743617
637798863	-0.244456858
637798864	-0.112694815
637798865	0.142688105
637798866	0.150209016
637798867	0.185405353
637798868	0.135764554
637798869	0.058885358
637798870	0.011999328
637798871	-0.471944767
637798872	-1.265110285
637798873	-0.227913919
637798874	-0.175517712
637798875	-0.226848056
637798876	-0.661433338
637798877	0.233955345
637798878	-0.112214966
637798879	0.11296517
637798880	-0.381741047
637798881	-0.091366797
637798882	-0.075182796
637798883	0.268186475
637798884	0.043118539
637798885	-0.098356232
637798886	-0.415452704
637798887	0.267421867
637798888	0.272240973
637798889	-0.076388693
637798890	-0.296391831
637798891	-0.422326893
637798892	-0.57246203
637798893	-0.392542438
637798894	-0.251972011
637798895	0.225874115
637798896	-0.159177148
637798897	-0.307739399
637798898	0.060423286
637798899	-0.100630429
637798900	0.383607956
637798901	0.019512443
637798902	-0.078419047
637798903	-0.025745473
637798904	0.032452351
637798905	0.407972197
637798906	0.644753836
637798907	-0.241042047
637798908	-0.132871355
637798909	-0.067676703
637798910	0.006795987
637798911	-0.053780127
637798912	-0.689814887
637798913	-0.564683919
637798914	-0.541633998
637798915	-0.211278006
637798916	-0.127018952
637798917	0.073119801
637798918	-0.103985536
637798919	0.189854694
